name,use,websites,hosts,first_party,third_party,persistent,life_span,session
dpm_url_count,Targeting/Advertising,76,77,84,36,0,0,120
ahoy_visitor,Functionality,275,141,107,216,323,320952,0
referrer,Functionality,1084,640,9332,420,5635,24648,4117
oo_inv_hit,Functionality,54,42,50,20,12,0,58
oo_inv_percent,Functionality,55,41,49,22,12,0,59
__cq_uuid,Performance,802,615,1192,27,1219,288,0
dwsecuretoken_,Strictly Necessary,729,709,737,162,1,1,898
dw_cookies_accepted,Strictly Necessary,189,175,198,9,18,493,189
dw,Strictly Necessary,3372,1288,198216,3311,3532,800752,197995
session_start_time,Functionality,149,113,141,18,4,6213,155
nmstat,Performance,1129,1166,1240,69,1293,3327,16
wisepops_visits,Targeting/Advertising,200,140,200,9,209,1174,0
wisepops,Targeting/Advertising,207,154,209,15,224,28833,0
wisepops_session,Targeting/Advertising,203,150,205,14,6,0,213
gpv_v100,Functionality,14,9,14,1,15,1,0
preferences,Functionality,75,42,177,28,183,34449,22
__unam,Functionality,4739,3812,4354,1205,5548,3727,11
s_nr2,Functionality,72,45,67,13,80,271,0
testcookie,Strictly Necessary,2243,631,11057,1905,338,34055,12624
_gumroad_guid,Performance,9,1,0,9,9,3642,0
_gali,Functionality,505,454,542,25,565,0,2
addevent_track_cookie,Targeting/Advertising,85,88,3204,32,3236,355,0
cart_ts,Strictly Necessary,358,355,359,13,372,13,0
cart_sig,Strictly Necessary,1503,1490,1478,92,1570,3843,0
cart,Strictly Necessary,587,564,596,32,580,121926,48
_icl_current_language,Strictly Necessary,982,1027,1604,384,1985,52249,3
ev_sync_dd,Targeting/Advertising,2078,3,5,2100,2100,222152,5
_jsuid,Performance,1454,1318,1303,320,1620,8116,3
_sess,Strictly Necessary,120,121,137,69,204,722,2
__zlcmid,Functionality,1809,1459,1797,66,1862,3548,1
vuid,Functionality,9326,204,364,9712,9893,6910,183
v,Targeting/Advertising,14625,422,541,17728,17967,177825,302
sat_track,Functionality,1590,1563,2050,351,1120,14127,1281
mid,Functionality,2812,109,133,8710,8810,2335951,33
id,Targeting/Advertising,60944,1853,1051,75558,76220,83136,389
euconsent,Strictly Necessary,1161,388,591,794,1319,253147,66
frontend,Strictly Necessary,4699,4860,5763,3084,8447,1033362,400
mage-translation-storage,Functionality,824,854,24984,139,40,1,25083
